지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
포천,2017-01-06 20:00,1,32.4,0.9,0,,,62.4,0,0
포천,2017-01-06 21:00,0.4,0,0.3,0,,,65.2,0,0
포천,2017-01-06 22:00,-1.5,215.6,0.6,0,,,71.2,0,0
포천,2017-01-06 23:00,-1.3,0,0.3,0,,,70.2,0,0
포천,2017-01-07 0:00,-2.6,218.7,0.5,0,,,72.7,0,0
포천,2017-01-07 1:00,-2.6,0,0,0,,,73.5,0,0
포천,2017-01-07 2:00,-3,0,0,0,,,74.2,0,0
포천,2017-01-07 3:00,-2.9,21.1,0.5,0,,,74.1,0,0
포천,2017-01-07 4:00,-3.3,0,0,0,,,74.3,0,0
포천,2017-01-07 5:00,-3.8,0,0,0,,,74.1,0,0
포천,2017-01-07 6:00,-3.9,0,0.1,0,,,73,0,0
포천,2017-01-07 7:00,-4.4,0,0,0,,,73.5,0,0
포천,2017-01-07 8:00,-4.5,0,0.1,0,,,73.6,0,0
포천,2017-01-07 9:00,-3.2,0,0,0,,,69,0,0
포천,2017-01-07 10:00,-1.7,36.9,0.8,0,,,69.4,0,0
포천,2017-01-07 11:00,1.5,236.6,0.5,0,,,67.3,0,0
포천,2017-01-07 12:00,5,152.3,0.9,0,,,51.7,0,0
포천,2017-01-07 13:00,8.1,0,0.4,0,,,36.9,0,0
포천,2017-01-07 14:00,9.6,208.6,1.3,0,,,24.2,0,0
포천,2017-01-07 15:00,9.1,229,2.8,0,,,25.5,0,0
포천,2017-01-07 16:00,9.3,88.1,1.1,0,,,26.8,0,0
포천,2017-01-07 17:00,8.3,39.9,1,0,,,33.4,0,0
포천,2017-01-07 18:00,3.6,312.6,0.7,0,,,48.9,0,0
포천,2017-01-07 19:00,2,0,0.2,0,,,56.5,0,0
포천,2017-01-07 20:00,1.6,0,0.1,0,,,59.3,0,0
포천,2017-01-07 21:00,0,50.8,1.1,0,,,63.3,0,0
포천,2017-01-07 22:00,-1.3,229.8,0.9,0,,,67.9,0,0
포천,2017-01-07 23:00,-1.8,179.4,1.1,0,,,67.3,0,0
포천,2017-01-08 0:00,-0.8,0,0.3,0,,,66,0,0
포천,2017-01-08 1:00,-0.5,0,0,0,,,65.6,0,0
포천,2017-01-08 2:00,-0.5,0,0.1,0,,,68,0,0
포천,2017-01-08 3:00,0.2,0,0.1,0,,,67.4,0,0
포천,2017-01-08 4:00,-0.3,0,0,0,,,67.9,0,0
포천,2017-01-08 5:00,-0.6,0,0,0,,,69.2,0,0
포천,2017-01-08 6:00,-0.9,0,0,0,,,71,0,0
포천,2017-01-08 7:00,-0.9,0,0.1,0,,,73.3,0,0
포천,2017-01-08 8:00,-1.1,0,0,0,,,71.4,0,0
포천,2017-01-08 9:00,2,114.6,1,0,,,65.7,0,0
포천,2017-01-08 10:00,5.5,63,2.4,0,,,55.2,0,0
포천,2017-01-08 11:00,8.4,70.4,3.1,0,,,44.8,0,0
포천,2017-01-08 12:00,9.6,50.5,2.5,0,,,34.9,0,0
포천,2017-01-08 13:00,10.5,62.9,1.9,0,,,31.3,0,0
포천,2017-01-08 14:00,10.9,0,0.3,0,,,27.9,0,0
포천,2017-01-08 15:00,11,198.6,1.4,0,,,27.8,0,0
포천,2017-01-08 16:00,10.4,241.5,2.9,0,,,29.9,0,0
포천,2017-01-08 17:00,9.3,311.7,2.3,0,,,35.9,0,0
포천,2017-01-08 18:00,8.5,305.4,1.3,0,,,37,0,0
포천,2017-01-08 19:00,8.2,244.7,0.5,0,,,37.5,0,0
포천,2017-01-08 20:00,7.4,296,0.7,0,,,41.1,0,0
포천,2017-01-08 21:00,6.6,310.1,3.3,0,,,49.4,0,0
포천,2017-01-08 22:00,5,101.3,1.6,0,,,64,0,0
포천,2017-01-08 23:00,4.8,107.3,0.8,0,,,67,0,0
포천,2017-01-09 0:00,4.6,345.2,2.2,0,,,59.6,0,0
포천,2017-01-09 1:00,4.4,270,2.2,0,,,54,0,0
포천,2017-01-09 2:00,4,258.8,1.7,0,,,49.6,0,0
포천,2017-01-09 3:00,3.9,208.4,2.5,0,,,47.4,0,0
포천,2017-01-09 4:00,3.3,238.3,3.5,0,,,55.5,0,0
포천,2017-01-09 5:00,3,217.5,3.4,0,,,57.3,0,0
포천,2017-01-09 6:00,3.3,275.4,3.4,0,,,47.7,0,0
포천,2017-01-09 7:00,2.7,242.9,2.9,0,,,52.4,0,0
포천,2017-01-09 8:00,2.5,234.8,3.1,0,,,54.1,0,0
포천,2017-01-09 9:00,2.3,252.9,1.9,0,,,56,0,0
포천,2017-01-09 10:00,3.4,247.6,3.2,0,,,49.2,0,0
포천,2017-01-09 11:00,4.7,262.4,2.8,0,,,38.3,0,0
포천,2017-01-09 12:00,3.3,282.2,2.6,0,,,36.9,0,0
포천,2017-01-09 13:00,4,242.9,3.9,0,,,40.6,0,0
포천,2017-01-09 14:00,3.6,272.6,2.6,0,,,28.9,0,0
포천,2017-01-09 15:00,4.4,309.7,2,0,,,23.3,0,0
포천,2017-01-09 16:00,4.6,258.8,1.9,0,,,25.9,0,0
포천,2017-01-09 17:00,2.9,273.3,2.2,0,,,31,0,0
포천,2017-01-09 18:00,1.2,261.4,2.3,0,,,30,0,0
포천,2017-01-09 19:00,0,244,1.8,0,,,34.2,0,0
포천,2017-01-09 20:00,-0.7,249.2,2,0,,,34.5,0,0
포천,2017-01-09 21:00,-1.5,355.2,1.2,0,,,43.6,0,0
포천,2017-01-09 22:00,-3.1,115.4,1.1,0,,,49.2,0,0
포천,2017-01-09 23:00,-4,0,0.3,0,,,54.8,0,0
포천,2017-01-10 0:00,-4.3,0,0.2,0,,,55,0,0
포천,2017-01-10 1:00,-5.3,227.1,0.7,0,,,64.6,0,0
포천,2017-01-10 2:00,-5.1,191.7,0.6,0,,,55,0,0
포천,2017-01-10 3:00,-5.3,57.8,1.3,0,,,53.3,0,0
포천,2017-01-10 4:00,-3.8,20.1,2.9,0,,,34.7,0,0
포천,2017-01-10 5:00,-5.5,163.6,1.5,0,,,50.3,0,0
포천,2017-01-10 6:00,-6.9,241.7,0.6,0,,,60.4,0,0
포천,2017-01-10 7:00,-7.3,222.2,0.7,0,,,60.3,0,0
포천,2017-01-10 8:00,-7.6,332,0.7,0,,,64.1,0,0
포천,2017-01-10 9:00,-5.8,337.9,0.7,0,,,58.2,0,0
포천,2017-01-10 10:00,-2.8,117.8,0.8,0,,,45.1,0,0
포천,2017-01-10 11:00,-0.4,230.5,2.7,0,,,34.1,0,0
포천,2017-01-10 12:00,0.9,262.2,4.3,0,,,25.3,0,0
포천,2017-01-10 13:00,0.1,280,3.4,0,,,31.9,0,0
포천,2017-01-10 14:00,1.8,293.1,2.9,0,,,19.1,0,0
포천,2017-01-10 15:00,2.1,303.4,3.4,0,,,17,0,0
포천,2017-01-10 16:00,0.7,248.8,4.1,0,,,10.6,0,0
포천,2017-01-10 17:00,-1.4,257.4,4.3,0,,,12.1,0,0
포천,2017-01-10 18:00,-3.1,274.4,2,0,,,17.2,0,0
포천,2017-01-10 19:00,-3.9,300.7,2.6,0,,,21,0,0
포천,2017-01-10 20:00,-4.7,282.5,2,0,,,20.8,0,0
포천,2017-01-10 21:00,-5.5,320.7,3.3,0,,,21.9,0,0
포천,2017-01-10 22:00,-5.9,345.1,3.1,0,,,23.4,0,0
포천,2017-01-10 23:00,-6.7,224.8,2.7,0,,,26.3,0,0
포천,2017-01-11 0:00,-7.8,208.7,3.5,0,,,35.4,0,0
포천,2017-01-11 1:00,-8.8,204.5,2,0,,,40.3,0,0
